Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time,,Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
2,SUCCESS,2,0,840,0.1,840.1,,2,SUCCESS,2,0,840,0.1,840.1
3,SUCCESS,2,0,840,0.1,840.1,,19944,SUCCESS,2,255,938,0.1,938.1
4,SUCCESS,2,0,840,0.1,840.1,,16107,SUCCESS,2,206,1048,0.1,1048.1
5,SUCCESS,2,0,840,0.1,840.1,,2326,SUCCESS,2,30,1068,0.1,1068.1
6,SUCCESS,2,0,840,0.1,840.1,,4676,SUCCESS,2,60,1068,0.1,1068.1
8,SUCCESS,2,0,840,0.1,840.1,,19317,SUCCESS,2,247,1068,0.1,1068.1
10,SUCCESS,2,0,840,0.1,840.1,,4988,SUCCESS,2,64,1084,0.1,1084.1
12,SUCCESS,2,0,840,0.1,840.1,,8043,SUCCESS,2,103,1084,0.1,1084.1
13,SUCCESS,2,0,840,0.1,840.1,,10234,SUCCESS,2,131,1084,0.1,1084.1
14,SUCCESS,2,0,840,0.1,840.1,,16499,SUCCESS,2,211,1084,0.1,1084.1
15,SUCCESS,2,0,840,0.1,840.1,,3813,SUCCESS,2,49,1104,0.1,1104.1
16,SUCCESS,2,0,840,0.1,840.1,,6946,SUCCESS,2,89,1104,0.1,1104.1
17,SUCCESS,2,0,840,0.1,840.1,,10469,SUCCESS,2,134,1104,0.1,1104.1
18,SUCCESS,2,0,840,0.1,840.1,,11643,SUCCESS,2,149,1104,0.1,1104.1
19,SUCCESS,2,0,840,0.1,840.1,,12505,SUCCESS,2,160,1104,0.1,1104.1
20,SUCCESS,2,0,840,0.1,840.1,,1073,SUCCESS,2,14,1125,0.1,1125.1
21,SUCCESS,2,0,840,0.1,840.1,,3893,SUCCESS,2,50,1125,0.1,1125.1
22,SUCCESS,2,0,840,0.1,840.1,,7102,SUCCESS,2,91,1125,0.1,1125.1
23,SUCCESS,2,0,840,0.1,840.1,,7180,SUCCESS,2,92,1125,0.1,1125.1
24,SUCCESS,2,0,840,0.1,840.1,,9843,SUCCESS,2,126,1125,0.1,1125.1
27,SUCCESS,2,0,840,0.1,840.1,,10156,SUCCESS,2,130,1125,0.1,1125.1
28,SUCCESS,2,0,840,0.1,840.1,,15715,SUCCESS,2,201,1125,0.1,1125.1
29,SUCCESS,2,0,840,0.1,840.1,,18143,SUCCESS,2,232,1125,0.1,1125.1
30,SUCCESS,2,0,840,0.1,840.1,,448,SUCCESS,2,6,1142,0.1,1142.1
31,SUCCESS,2,0,840,0.1,840.1,,1856,SUCCESS,2,24,1142,0.1,1142.1
32,SUCCESS,2,0,840,0.1,840.1,,3970,SUCCESS,2,51,1142,0.1,1142.1
33,SUCCESS,2,0,840,0.1,840.1,,4283,SUCCESS,2,55,1142,0.1,1142.1
34,SUCCESS,2,0,840,0.1,840.1,,5302,SUCCESS,2,68,1142,0.1,1142.1
35,SUCCESS,2,0,840,0.1,840.1,,5771,SUCCESS,2,74,1142,0.1,1142.1
36,SUCCESS,2,0,840,0.1,840.1,,6006,SUCCESS,2,77,1142,0.1,1142.1
37,SUCCESS,2,0,840,0.1,840.1,,6789,SUCCESS,2,87,1142,0.1,1142.1
38,SUCCESS,2,0,840,0.1,840.1,,7807,SUCCESS,2,100,1142,0.1,1142.1
39,SUCCESS,2,0,840,0.1,840.1,,8903,SUCCESS,2,114,1142,0.1,1142.1
40,SUCCESS,2,0,840,0.1,840.1,,9764,SUCCESS,2,125,1142,0.1,1142.1
41,SUCCESS,2,0,840,0.1,840.1,,11254,SUCCESS,2,144,1142,0.1,1142.1
43,SUCCESS,2,0,840,0.1,840.1,,11565,SUCCESS,2,148,1142,0.1,1142.1
44,SUCCESS,2,0,840,0.1,840.1,,12583,SUCCESS,2,161,1142,0.1,1142.1
45,SUCCESS,2,0,840,0.1,840.1,,12818,SUCCESS,2,164,1142,0.1,1142.1
46,SUCCESS,2,0,840,0.1,840.1,,15402,SUCCESS,2,197,1142,0.1,1142.1
48,SUCCESS,2,0,840,0.1,840.1,,17751,SUCCESS,2,227,1142,0.1,1142.1
49,SUCCESS,2,0,840,0.1,840.1,,19395,SUCCESS,2,248,1142,0.1,1142.1
50,SUCCESS,2,0,840,0.1,840.1,,4048,SUCCESS,2,52,1160,0.1,1160.1
51,SUCCESS,2,0,840,0.1,840.1,,6867,SUCCESS,2,88,1160,0.1,1160.1
53,SUCCESS,2,0,840,0.1,840.1,,7337,SUCCESS,2,94,1160,0.1,1160.1
19944,SUCCESS,2,255,938,0.1,938.1,,7493,SUCCESS,2,96,1160,0.1,1160.1
19945,SUCCESS,2,255,938,0.1,938.1,,9608,SUCCESS,2,123,1160,0.1,1160.1
19946,SUCCESS,2,255,938,0.1,938.1,,10626,SUCCESS,2,136,1160,0.1,1160.1
19947,SUCCESS,2,255,938,0.1,938.1,,11800,SUCCESS,2,151,1160,0.1,1160.1
19948,SUCCESS,2,255,938,0.1,938.1,,11957,SUCCESS,2,153,1160,0.1,1160.1
19949,SUCCESS,2,255,938,0.1,938.1,,13679,SUCCESS,2,175,1160,0.1,1160.1
19950,SUCCESS,2,255,938,0.1,938.1,,13836,SUCCESS,2,177,1160,0.1,1160.1
19951,SUCCESS,2,255,938,0.1,938.1,,13994,SUCCESS,2,179,1160,0.1,1160.1
19952,SUCCESS,2,255,938,0.1,938.1,,14071,SUCCESS,2,180,1160,0.1,1160.1
19953,SUCCESS,2,255,938,0.1,938.1,,16733,SUCCESS,2,214,1160,0.1,1160.1
19954,SUCCESS,2,255,938,0.1,938.1,,17594,SUCCESS,2,225,1160,0.1,1160.1
19955,SUCCESS,2,255,938,0.1,938.1,,18691,SUCCESS,2,239,1160,0.1,1160.1
19956,SUCCESS,2,255,938,0.1,938.1,,19552,SUCCESS,2,250,1160,0.1,1160.1
19957,SUCCESS,2,255,938,0.1,938.1,,19865,SUCCESS,2,254,1160,0.1,1160.1
19958,SUCCESS,2,255,938,0.1,938.1,,368,SUCCESS,2,5,1179,0.1,1179.1
19959,SUCCESS,2,255,938,0.1,938.1,,1387,SUCCESS,2,18,1179,0.1,1179.1
19960,SUCCESS,2,255,938,0.1,938.1,,1699,SUCCESS,2,22,1179,0.1,1179.1
19961,SUCCESS,2,255,938,0.1,938.1,,2012,SUCCESS,2,26,1179,0.1,1179.1
19962,SUCCESS,2,255,938,0.1,938.1,,4596,SUCCESS,2,59,1179,0.1,1179.1
19963,SUCCESS,2,255,938,0.1,938.1,,4753,SUCCESS,2,61,1179,0.1,1179.1
19964,SUCCESS,2,255,938,0.1,938.1,,5066,SUCCESS,2,65,1179,0.1,1179.1
19965,SUCCESS,2,255,938,0.1,938.1,,7963,SUCCESS,2,102,1179,0.1,1179.1
19966,SUCCESS,2,255,938,0.1,938.1,,8277,SUCCESS,2,106,1179,0.1,1179.1
19967,SUCCESS,2,255,938,0.1,938.1,,9060,SUCCESS,2,116,1179,0.1,1179.1
19968,SUCCESS,2,255,938,0.1,938.1,,10078,SUCCESS,2,129,1179,0.1,1179.1
19970,SUCCESS,2,255,938,0.1,938.1,,10939,SUCCESS,2,140,1179,0.1,1179.1
19972,SUCCESS,2,255,938,0.1,938.1,,12896,SUCCESS,2,165,1179,0.1,1179.1
19973,SUCCESS,2,255,938,0.1,938.1,,13053,SUCCESS,2,167,1179,0.1,1179.1
19974,SUCCESS,2,255,938,0.1,938.1,,14541,SUCCESS,2,186,1179,0.1,1179.1
19975,SUCCESS,2,255,938,0.1,938.1,,14776,SUCCESS,2,189,1179,0.1,1179.1
19976,SUCCESS,2,255,938,0.1,938.1,,15167,SUCCESS,2,194,1179,0.1,1179.1
19979,SUCCESS,2,255,938,0.1,938.1,,15873,SUCCESS,2,203,1179,0.1,1179.1
19980,SUCCESS,2,255,938,0.1,938.1,,17281,SUCCESS,2,221,1179,0.1,1179.1
19981,SUCCESS,2,255,938,0.1,938.1,,17360,SUCCESS,2,222,1179,0.1,1179.1
19982,SUCCESS,2,255,938,0.1,938.1,,18299,SUCCESS,2,234,1179,0.1,1179.1
19983,SUCCESS,2,255,938,0.1,938.1,,18770,SUCCESS,2,240,1179,0.1,1179.1
