Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
25970,SUCCESS,2,255,20,0.1,20.1
25971,SUCCESS,2,255,20,20.1,40.1
25972,SUCCESS,2,255,20,40.1,60.1
25973,SUCCESS,2,255,20,60.1,80.1
25974,SUCCESS,2,255,20,80.1,100.1
25977,SUCCESS,2,255,20,100.1,120.1
25979,SUCCESS,2,255,20,120.1,140.1
25981,SUCCESS,2,255,20,140.1,160.1
25982,SUCCESS,2,255,20,160.1,180.1
25984,SUCCESS,2,255,20,180.1,200.1
25986,SUCCESS,2,255,20,200.1,220.1
25987,SUCCESS,2,255,20,220.1,240.1
25990,SUCCESS,2,255,20,240.1,260.1
25993,SUCCESS,2,255,20,260.1,280.1
25995,SUCCESS,2,255,20,280.1,300.1
25999,SUCCESS,2,255,20,300.1,320.1
25940,SUCCESS,2,254,20,0.1,20.1
25941,SUCCESS,2,254,20,20.1,40.1
25942,SUCCESS,2,254,20,40.1,60.1
25944,SUCCESS,2,254,20,60.1,80.1
25948,SUCCESS,2,254,20,80.1,100.1
25949,SUCCESS,2,254,20,100.1,120.1
25950,SUCCESS,2,254,20,120.1,140.1
25951,SUCCESS,2,254,20,140.1,160.1
25955,SUCCESS,2,254,20,160.1,180.1
25956,SUCCESS,2,254,20,180.1,200.1
25957,SUCCESS,2,254,20,200.1,220.1
25958,SUCCESS,2,254,20,220.1,240.1
25959,SUCCESS,2,254,20,240.1,260.1
25960,SUCCESS,2,254,20,260.1,280.1
25961,SUCCESS,2,254,20,280.1,300.1
25963,SUCCESS,2,254,20,300.1,320.1
25964,SUCCESS,2,254,20,320.1,340.1
25965,SUCCESS,2,254,20,340.1,360.1
25967,SUCCESS,2,254,20,360.1,380.1
25968,SUCCESS,2,254,20,380.1,400.1
25909,SUCCESS,2,253,20,0.1,20.1
25911,SUCCESS,2,253,20,20.1,40.1
25912,SUCCESS,2,253,20,40.1,60.1
25913,SUCCESS,2,253,20,60.1,80.1
25914,SUCCESS,2,253,20,80.1,100.1
25915,SUCCESS,2,253,20,100.1,120.1
25916,SUCCESS,2,253,20,120.1,140.1
25918,SUCCESS,2,253,20,140.1,160.1
25919,SUCCESS,2,253,20,160.1,180.1
25920,SUCCESS,2,253,20,180.1,200.1
25921,SUCCESS,2,253,20,200.1,220.1
25922,SUCCESS,2,253,20,220.1,240.1
25923,SUCCESS,2,253,20,240.1,260.1
25925,SUCCESS,2,253,20,260.1,280.1
25928,SUCCESS,2,253,20,280.1,300.1
25930,SUCCESS,2,253,20,300.1,320.1
25932,SUCCESS,2,253,20,320.1,340.1
25934,SUCCESS,2,253,20,340.1,360.1
25936,SUCCESS,2,253,20,360.1,380.1
25937,SUCCESS,2,253,20,380.1,400.1
25938,SUCCESS,2,253,20,400.1,420.1
25879,SUCCESS,2,252,20,0.1,20.1
25880,SUCCESS,2,252,20,20.1,40.1
25881,SUCCESS,2,252,20,40.1,60.1
25882,SUCCESS,2,252,20,60.1,80.1
25884,SUCCESS,2,252,20,80.1,100.1
25885,SUCCESS,2,252,20,100.1,120.1
25887,SUCCESS,2,252,20,120.1,140.1
25890,SUCCESS,2,252,20,140.1,160.1
25891,SUCCESS,2,252,20,160.1,180.1
25892,SUCCESS,2,252,20,180.1,200.1
25895,SUCCESS,2,252,20,200.1,220.1
25897,SUCCESS,2,252,20,220.1,240.1
25901,SUCCESS,2,252,20,240.1,260.1
25902,SUCCESS,2,252,20,260.1,280.1
25903,SUCCESS,2,252,20,280.1,300.1
25904,SUCCESS,2,252,20,300.1,320.1
25905,SUCCESS,2,252,20,320.1,340.1
25906,SUCCESS,2,252,20,340.1,360.1
25908,SUCCESS,2,252,20,360.1,380.1
25848,SUCCESS,2,251,20,0.1,20.1
25850,SUCCESS,2,251,20,20.1,40.1
25851,SUCCESS,2,251,20,40.1,60.1
25852,SUCCESS,2,251,20,60.1,80.1
25853,SUCCESS,2,251,20,80.1,100.1
25854,SUCCESS,2,251,20,100.1,120.1
25855,SUCCESS,2,251,20,120.1,140.1
25856,SUCCESS,2,251,20,140.1,160.1
25857,SUCCESS,2,251,20,160.1,180.1
25858,SUCCESS,2,251,20,180.1,200.1
