Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
2996,SUCCESS,2,0,20,0.1,20.1
3836,SUCCESS,2,0,20,20.1,40.1
4197,SUCCESS,2,0,20,40.1,60.1
5837,SUCCESS,2,0,20,60.1,80.1
6300,SUCCESS,2,0,20,80.1,100.1
6939,SUCCESS,2,0,20,100.1,120.1
7030,SUCCESS,2,0,20,120.1,140.1
7091,SUCCESS,2,0,20,140.1,160.1
7132,SUCCESS,2,0,20,160.1,180.1
7212,SUCCESS,2,0,20,180.1,200.1
8150,SUCCESS,2,0,20,200.1,220.1
8568,SUCCESS,2,0,20,220.1,240.1
8611,SUCCESS,2,0,20,240.1,260.1
8767,SUCCESS,2,0,20,260.1,280.1
8829,SUCCESS,2,0,20,280.1,300.1
9398,SUCCESS,2,0,20,300.1,320.1
10046,SUCCESS,2,0,20,320.1,340.1
10229,SUCCESS,2,0,20,340.1,360.1
10848,SUCCESS,2,0,20,360.1,380.1
11004,SUCCESS,2,0,20,380.1,400.1
11117,SUCCESS,2,0,20,400.1,420.1
11337,SUCCESS,2,0,20,420.1,440.1
11475,SUCCESS,2,0,20,440.1,460.1
11990,SUCCESS,2,0,20,460.1,480.1
12361,SUCCESS,2,0,20,480.1,500.1
12457,SUCCESS,2,0,20,500.1,520.1
13230,SUCCESS,2,0,20,520.1,540.1
14201,SUCCESS,2,0,20,540.1,560.1
18176,SUCCESS,2,1,20,0.1,20.1
2084,SUCCESS,2,1,20,20.1,40.1
5987,SUCCESS,2,1,20,40.1,60.1
6671,SUCCESS,2,1,20,60.1,80.1
6853,SUCCESS,2,1,20,80.1,100.1
8053,SUCCESS,2,1,20,100.1,120.1
9269,SUCCESS,2,1,20,120.1,140.1
9426,SUCCESS,2,1,20,140.1,160.1
9457,SUCCESS,2,1,20,160.1,180.1
10279,SUCCESS,2,1,20,180.1,200.1
10297,SUCCESS,2,1,20,200.1,220.1
10929,SUCCESS,2,1,20,220.1,240.1
11648,SUCCESS,2,1,20,240.1,260.1
12065,SUCCESS,2,1,20,260.1,280.1
12080,SUCCESS,2,1,20,280.1,300.1
12088,SUCCESS,2,1,20,300.1,320.1
12219,SUCCESS,2,1,20,320.1,340.1
12950,SUCCESS,2,1,20,340.1,360.1
13220,SUCCESS,2,1,20,360.1,380.1
13803,SUCCESS,2,1,20,380.1,400.1
14883,SUCCESS,2,1,20,400.1,420.1
6116,SUCCESS,2,2,20,0.1,20.1
6480,SUCCESS,2,2,20,20.1,40.1
7848,SUCCESS,2,2,20,40.1,60.1
8046,SUCCESS,2,2,20,60.1,80.1
8286,SUCCESS,2,2,20,80.1,100.1
8962,SUCCESS,2,2,20,100.1,120.1
9750,SUCCESS,2,2,20,120.1,140.1
9887,SUCCESS,2,2,20,140.1,160.1
10101,SUCCESS,2,2,20,160.1,180.1
12038,SUCCESS,2,2,20,180.1,200.1
12185,SUCCESS,2,2,20,200.1,220.1
13404,SUCCESS,2,2,20,220.1,240.1
13518,SUCCESS,2,2,20,240.1,260.1
15448,SUCCESS,2,2,20,260.1,280.1
16127,SUCCESS,2,2,20,280.1,300.1
16547,SUCCESS,2,3,20,0.1,20.1
4298,SUCCESS,2,3,20,20.1,40.1
5460,SUCCESS,2,3,20,40.1,60.1
5690,SUCCESS,2,3,20,60.1,80.1
6005,SUCCESS,2,3,20,80.1,100.1
6224,SUCCESS,2,3,20,100.1,120.1
7324,SUCCESS,2,3,20,120.1,140.1
8275,SUCCESS,2,3,20,140.1,160.1
8330,SUCCESS,2,3,20,160.1,180.1
8632,SUCCESS,2,3,20,180.1,200.1
9258,SUCCESS,2,3,20,200.1,220.1
9285,SUCCESS,2,3,20,220.1,240.1
9308,SUCCESS,2,3,20,240.1,260.1
9897,SUCCESS,2,3,20,260.1,280.1
10808,SUCCESS,2,3,20,280.1,300.1
10950,SUCCESS,2,3,20,300.1,320.1
11037,SUCCESS,2,3,20,320.1,340.1
11073,SUCCESS,2,3,20,340.1,360.1
11336,SUCCESS,2,3,20,360.1,380.1
11405,SUCCESS,2,3,20,380.1,400.1
11569,SUCCESS,2,3,20,400.1,420.1
11612,SUCCESS,2,3,20,420.1,440.1
11814,SUCCESS,2,3,20,440.1,460.1
12506,SUCCESS,2,3,20,460.1,480.1
12634,SUCCESS,2,3,20,480.1,500.1
13080,SUCCESS,2,3,20,500.1,520.1
13199,SUCCESS,2,3,20,520.1,540.1
13661,SUCCESS,2,3,20,540.1,560.1
14243,SUCCESS,2,3,20,560.1,580.1
14755,SUCCESS,2,3,20,580.1,600.1
5811,SUCCESS,2,4,20,0.1,20.1
6002,SUCCESS,2,4,20,20.1,40.1
6925,SUCCESS,2,4,20,40.1,60.1
8040,SUCCESS,2,4,20,60.1,80.1
8665,SUCCESS,2,4,20,80.1,100.1
9296,SUCCESS,2,4,20,100.1,120.1
