Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
61158,SUCCESS,2,0,20,0.1,20.1
61169,SUCCESS,2,0,20,20.1,40.1
7459,SUCCESS,2,1,20,0.1,20.1
9161,SUCCESS,2,1,20,20.1,40.1
9317,SUCCESS,2,1,20,40.1,60.1
9418,SUCCESS,2,1,20,60.1,80.1
10186,SUCCESS,2,1,20,80.1,100.1
10794,SUCCESS,2,1,20,100.1,120.1
11766,SUCCESS,2,1,20,120.1,140.1
11786,SUCCESS,2,1,20,140.1,160.1
61340,SUCCESS,2,1,20,160.1,180.1
61383,SUCCESS,2,1,20,180.1,200.1
61404,SUCCESS,2,1,20,200.1,220.1
12310,SUCCESS,2,2,20,0.1,20.1
61467,SUCCESS,2,2,20,20.1,40.1
61524,SUCCESS,2,2,20,40.1,60.1
12637,SUCCESS,2,2,20,60.1,80.1
13249,SUCCESS,2,2,20,80.1,100.1
13299,SUCCESS,2,2,20,100.1,120.1
13455,SUCCESS,2,2,20,120.1,140.1
13473,SUCCESS,2,2,20,140.1,160.1
13913,SUCCESS,2,2,20,160.1,180.1
14124,SUCCESS,2,2,20,180.1,200.1
14195,SUCCESS,2,2,20,200.1,220.1
14244,SUCCESS,2,2,20,220.1,240.1
14769,SUCCESS,2,2,20,240.1,260.1
14826,SUCCESS,2,2,20,260.1,280.1
15344,SUCCESS,2,2,20,280.1,300.1
15416,SUCCESS,2,2,20,300.1,320.1
15461,SUCCESS,2,2,20,320.1,340.1
15546,SUCCESS,2,2,20,340.1,360.1
61622,SUCCESS,2,3,20,0.1,20.1
61718,SUCCESS,2,3,20,20.1,40.1
15939,SUCCESS,2,3,20,40.1,60.1
16030,SUCCESS,2,3,20,60.1,80.1
16091,SUCCESS,2,3,20,80.1,100.1
16158,SUCCESS,2,3,20,100.1,120.1
16415,SUCCESS,2,4,20,0.1,20.1
16553,SUCCESS,2,4,20,20.1,40.1
16657,SUCCESS,2,4,20,40.1,60.1
16727,SUCCESS,2,4,20,60.1,80.1
16775,SUCCESS,2,4,20,80.1,100.1
61761,SUCCESS,2,4,20,100.1,120.1
61846,SUCCESS,2,4,20,120.1,140.1
16298,SUCCESS,2,4,20,140.1,160.1
16851,SUCCESS,2,5,20,0.1,20.1
16958,SUCCESS,2,5,20,20.1,40.1
17187,SUCCESS,2,5,20,40.1,60.1
61990,SUCCESS,2,5,20,60.1,80.1
62005,SUCCESS,2,5,20,80.1,100.1
17332,SUCCESS,2,6,20,0.1,20.1
17350,SUCCESS,2,6,20,20.1,40.1
17351,SUCCESS,2,6,20,40.1,60.1
17447,SUCCESS,2,6,20,60.1,80.1
17480,SUCCESS,2,6,20,80.1,100.1
17490,SUCCESS,2,6,20,100.1,120.1
17526,SUCCESS,2,6,20,120.1,140.1
17683,SUCCESS,2,6,20,140.1,160.1
62089,SUCCESS,2,6,20,160.1,180.1
17896,SUCCESS,2,7,20,0.1,20.1
17917,SUCCESS,2,7,20,20.1,40.1
17982,SUCCESS,2,7,20,40.1,60.1
18030,SUCCESS,2,7,20,60.1,80.1
18053,SUCCESS,2,7,20,80.1,100.1
18192,SUCCESS,2,7,20,100.1,120.1
18207,SUCCESS,2,7,20,120.1,140.1
18296,SUCCESS,2,7,20,140.1,160.1
62203,SUCCESS,2,7,20,160.1,180.1
62217,SUCCESS,2,7,20,180.1,200.1
18413,SUCCESS,2,8,20,0.1,20.1
18661,SUCCESS,2,8,20,20.1,40.1
18673,SUCCESS,2,8,20,40.1,60.1
18690,SUCCESS,2,8,20,60.1,80.1
18699,SUCCESS,2,8,20,80.1,100.1
18807,SUCCESS,2,8,20,100.1,120.1
62377,SUCCESS,2,8,20,120.1,140.1
62462,SUCCESS,2,8,20,140.1,160.1
18867,SUCCESS,2,9,20,0.1,20.1
18961,SUCCESS,2,9,20,20.1,40.1
18996,SUCCESS,2,9,20,40.1,60.1
19055,SUCCESS,2,9,20,60.1,80.1
19123,SUCCESS,2,9,20,80.1,100.1
19131,SUCCESS,2,9,20,100.1,120.1
19143,SUCCESS,2,9,20,120.1,140.1
19212,SUCCESS,2,9,20,140.1,160.1
19245,SUCCESS,2,9,20,160.1,180.1
19348,SUCCESS,2,9,20,180.1,200.1
