Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
181,SUCCESS,2,0,20,0.1,20.1
16772,SUCCESS,2,0,20,20.1,40.1
472,SUCCESS,2,0,20,40.1,60.1
1063,SUCCESS,2,0,20,60.1,80.1
17453,SUCCESS,2,0,20,80.1,100.1
18151,SUCCESS,2,0,20,100.1,120.1
1821,SUCCESS,2,0,20,120.1,140.1
18426,SUCCESS,2,0,20,140.1,160.1
2223,SUCCESS,2,0,20,160.1,180.1
2673,SUCCESS,2,0,20,180.1,200.1
2989,SUCCESS,2,0,20,200.1,220.1
19380,SUCCESS,2,0,20,220.1,240.1
19629,SUCCESS,2,0,20,240.1,260.1
3836,SUCCESS,2,0,20,260.1,280.1
4197,SUCCESS,2,0,20,280.1,300.1
4452,SUCCESS,2,0,20,300.1,320.1
4979,SUCCESS,2,0,20,320.1,340.1
5222,SUCCESS,2,0,20,340.1,360.1
5553,SUCCESS,2,0,20,360.1,380.1
5692,SUCCESS,2,0,20,380.1,400.1
5837,SUCCESS,2,0,20,400.1,420.1
5952,SUCCESS,2,0,20,420.1,440.1
6300,SUCCESS,2,0,20,440.1,460.1
6799,SUCCESS,2,0,20,460.1,480.1
6939,SUCCESS,2,0,20,480.1,500.1
7030,SUCCESS,2,0,20,500.1,520.1
7091,SUCCESS,2,0,20,520.1,540.1
7212,SUCCESS,2,0,20,540.1,560.1
7489,SUCCESS,2,0,20,560.1,580.1
9398,SUCCESS,2,0,20,580.1,600.1
9864,SUCCESS,2,0,20,600.1,620.1
11117,SUCCESS,2,0,20,620.1,640.1
11475,SUCCESS,2,0,20,640.1,660.1
12361,SUCCESS,2,0,20,660.1,680.1
12457,SUCCESS,2,0,20,680.1,700.1
13862,SUCCESS,2,0,20,700.1,720.1
14073,SUCCESS,2,0,20,720.1,740.1
15470,SUCCESS,2,0,20,740.1,760.1
57,SUCCESS,2,1,20,0.1,20.1
371,SUCCESS,2,1,20,20.1,40.1
16878,SUCCESS,2,1,20,40.1,60.1
17309,SUCCESS,2,1,20,60.1,80.1
1266,SUCCESS,2,1,20,80.1,100.1
18072,SUCCESS,2,1,20,100.1,120.1
2084,SUCCESS,2,1,20,120.1,140.1
18714,SUCCESS,2,1,20,140.1,160.1
2852,SUCCESS,2,1,20,160.1,180.1
3222,SUCCESS,2,1,20,180.1,200.1
19905,SUCCESS,2,1,20,200.1,220.1
6853,SUCCESS,2,1,20,220.1,240.1
7011,SUCCESS,2,1,20,240.1,260.1
8053,SUCCESS,2,1,20,260.1,280.1
9426,SUCCESS,2,1,20,280.1,300.1
10582,SUCCESS,2,1,20,300.1,320.1
12065,SUCCESS,2,1,20,320.1,340.1
12338,SUCCESS,2,1,20,340.1,360.1
12950,SUCCESS,2,1,20,360.1,380.1
14413,SUCCESS,2,1,20,380.1,400.1
14575,SUCCESS,2,1,20,400.1,420.1
14883,SUCCESS,2,1,20,420.1,440.1
15366,SUCCESS,2,1,20,440.1,460.1
16633,SUCCESS,2,2,20,0.1,20.1
16750,SUCCESS,2,2,20,20.1,40.1
1504,SUCCESS,2,2,20,40.1,60.1
18216,SUCCESS,2,2,20,60.1,80.1
2123,SUCCESS,2,2,20,80.1,100.1
18626,SUCCESS,2,2,20,100.1,120.1
2510,SUCCESS,2,2,20,120.1,140.1
3153,SUCCESS,2,2,20,140.1,160.1
3845,SUCCESS,2,2,20,160.1,180.1
