Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
181,SUCCESS,2,0,20,0.1,20.1
1063,SUCCESS,2,0,20,20.1,40.1
17453,SUCCESS,2,0,20,40.1,60.1
17469,SUCCESS,2,0,20,60.1,80.1
17903,SUCCESS,2,0,20,80.1,100.1
1832,SUCCESS,2,0,20,100.1,120.1
1840,SUCCESS,2,0,20,120.1,140.1
1963,SUCCESS,2,0,20,140.1,160.1
2030,SUCCESS,2,0,20,160.1,180.1
2223,SUCCESS,2,0,20,180.1,200.1
2495,SUCCESS,2,0,20,200.1,220.1
2673,SUCCESS,2,0,20,220.1,240.1
2678,SUCCESS,2,0,20,240.1,260.1
19078,SUCCESS,2,0,20,260.1,280.1
19205,SUCCESS,2,0,20,280.1,300.1
2857,SUCCESS,2,0,20,300.1,320.1
3056,SUCCESS,2,0,20,320.1,340.1
3836,SUCCESS,2,0,20,340.1,360.1
4186,SUCCESS,2,0,20,360.1,380.1
5837,SUCCESS,2,0,20,380.1,400.1
5952,SUCCESS,2,0,20,400.1,420.1
6097,SUCCESS,2,0,20,420.1,440.1
6300,SUCCESS,2,0,20,440.1,460.1
7212,SUCCESS,2,0,20,460.1,480.1
7489,SUCCESS,2,0,20,480.1,500.1
8150,SUCCESS,2,0,20,500.1,520.1
8611,SUCCESS,2,0,20,520.1,540.1
9398,SUCCESS,2,0,20,540.1,560.1
10046,SUCCESS,2,0,20,560.1,580.1
10229,SUCCESS,2,0,20,580.1,600.1
10848,SUCCESS,2,0,20,600.1,620.1
11337,SUCCESS,2,0,20,620.1,640.1
12457,SUCCESS,2,0,20,640.1,660.1
13230,SUCCESS,2,0,20,660.1,680.1
13862,SUCCESS,2,0,20,680.1,700.1
14073,SUCCESS,2,0,20,700.1,720.1
14201,SUCCESS,2,0,20,720.1,740.1
677,SUCCESS,2,1,20,0.1,20.1
17309,SUCCESS,2,1,20,20.1,40.1
17998,SUCCESS,2,1,20,40.1,60.1
18072,SUCCESS,2,1,20,60.1,80.1
18269,SUCCESS,2,1,20,80.1,100.1
18490,SUCCESS,2,1,20,100.1,120.1
18519,SUCCESS,2,1,20,120.1,140.1
2646,SUCCESS,2,1,20,140.1,160.1
2852,SUCCESS,2,1,20,160.1,180.1
2869,SUCCESS,2,1,20,180.1,200.1
6853,SUCCESS,2,1,20,200.1,220.1
7011,SUCCESS,2,1,20,220.1,240.1
9269,SUCCESS,2,1,20,240.1,260.1
9457,SUCCESS,2,1,20,260.1,280.1
10279,SUCCESS,2,1,20,280.1,300.1
11648,SUCCESS,2,1,20,300.1,320.1
12065,SUCCESS,2,1,20,320.1,340.1
12219,SUCCESS,2,1,20,340.1,360.1
12950,SUCCESS,2,1,20,360.1,380.1
13506,SUCCESS,2,1,20,380.1,400.1
14413,SUCCESS,2,1,20,400.1,420.1
14639,SUCCESS,2,1,20,420.1,440.1
16425,SUCCESS,2,2,20,0.1,20.1
17663,SUCCESS,2,2,20,20.1,40.1
18017,SUCCESS,2,2,20,40.1,60.1
18216,SUCCESS,2,2,20,60.1,80.1
1892,SUCCESS,2,2,20,80.1,100.1
3153,SUCCESS,2,2,20,100.1,120.1
3845,SUCCESS,2,2,20,120.1,140.1
6116,SUCCESS,2,2,20,140.1,160.1
6480,SUCCESS,2,2,20,160.1,180.1
8046,SUCCESS,2,2,20,180.1,200.1
9750,SUCCESS,2,2,20,200.1,220.1
10461,SUCCESS,2,2,20,220.1,240.1
10531,SUCCESS,2,2,20,240.1,260.1
11840,SUCCESS,2,2,20,260.1,280.1
12038,SUCCESS,2,2,20,280.1,300.1
12941,SUCCESS,2,2,20,300.1,320.1
13117,SUCCESS,2,2,20,320.1,340.1
13404,SUCCESS,2,2,20,340.1,360.1
15264,SUCCESS,2,2,20,360.1,380.1
15448,SUCCESS,2,2,20,380.1,400.1
16127,SUCCESS,2,2,20,400.1,420.1
16291,SUCCESS,2,2,20,420.1,440.1
17437,SUCCESS,2,3,20,0.1,20.1
1596,SUCCESS,2,3,20,20.1,40.1
1929,SUCCESS,2,3,20,40.1,60.1
3107,SUCCESS,2,3,20,60.1,80.1
5018,SUCCESS,2,3,20,80.1,100.1
5564,SUCCESS,2,3,20,100.1,120.1
6039,SUCCESS,2,3,20,120.1,140.1
6652,SUCCESS,2,3,20,140.1,160.1
8275,SUCCESS,2,3,20,160.1,180.1
8330,SUCCESS,2,3,20,180.1,200.1
9285,SUCCESS,2,3,20,200.1,220.1
9897,SUCCESS,2,3,20,220.1,240.1
11336,SUCCESS,2,3,20,240.1,260.1
12506,SUCCESS,2,3,20,260.1,280.1
13199,SUCCESS,2,3,20,280.1,300.1
15075,SUCCESS,2,3,20,300.1,320.1
24,SUCCESS,2,4,20,0.1,20.1
16562,SUCCESS,2,4,20,20.1,40.1
1478,SUCCESS,2,4,20,40.1,60.1
1576,SUCCESS,2,4,20,60.1,80.1
1841,SUCCESS,2,4,20,80.1,100.1
18756,SUCCESS,2,4,20,100.1,120.1
2617,SUCCESS,2,4,20,120.1,140.1
3171,SUCCESS,2,4,20,140.1,160.1
3357,SUCCESS,2,4,20,160.1,180.1
19883,SUCCESS,2,4,20,180.1,200.1
4101,SUCCESS,2,4,20,200.1,220.1
4800,SUCCESS,2,4,20,220.1,240.1
4975,SUCCESS,2,4,20,240.1,260.1
5506,SUCCESS,2,4,20,260.1,280.1
6002,SUCCESS,2,4,20,280.1,300.1
8040,SUCCESS,2,4,20,300.1,320.1
8665,SUCCESS,2,4,20,320.1,340.1
9296,SUCCESS,2,4,20,340.1,360.1
9481,SUCCESS,2,4,20,360.1,380.1
9634,SUCCESS,2,4,20,380.1,400.1
10007,SUCCESS,2,4,20,400.1,420.1
10078,SUCCESS,2,4,20,420.1,440.1
11139,SUCCESS,2,4,20,440.1,460.1
11351,SUCCESS,2,4,20,460.1,480.1
11991,SUCCESS,2,4,20,480.1,500.1
13118,SUCCESS,2,4,20,500.1,520.1
13770,SUCCESS,2,4,20,520.1,540.1
15419,SUCCESS,2,4,20,540.1,560.1
16208,SUCCESS,2,4,20,560.1,580.1
164,SUCCESS,2,5,20,0.1,20.1
17850,SUCCESS,2,5,20,20.1,40.1
1709,SUCCESS,2,5,20,40.1,60.1
18219,SUCCESS,2,5,20,60.1,80.1
18492,SUCCESS,2,5,20,80.1,100.1
2308,SUCCESS,2,5,20,100.1,120.1
19082,SUCCESS,2,5,20,120.1,140.1
2839,SUCCESS,2,5,20,140.1,160.1
19663,SUCCESS,2,5,20,160.1,180.1
4046,SUCCESS,2,5,20,180.1,200.1
4074,SUCCESS,2,5,20,200.1,220.1
4828,SUCCESS,2,5,20,220.1,240.1
5387,SUCCESS,2,5,20,240.1,260.1
5644,SUCCESS,2,5,20,260.1,280.1
6274,SUCCESS,2,5,20,280.1,300.1
8506,SUCCESS,2,5,20,300.1,320.1
9352,SUCCESS,2,5,20,320.1,340.1
9732,SUCCESS,2,5,20,340.1,360.1
10242,SUCCESS,2,5,20,360.1,380.1
10358,SUCCESS,2,5,20,380.1,400.1
11502,SUCCESS,2,5,20,400.1,420.1
11695,SUCCESS,2,5,20,420.1,440.1
12559,SUCCESS,2,5,20,440.1,460.1
13651,SUCCESS,2,5,20,460.1,480.1
3,SUCCESS,2,6,20,0.1,20.1
72,SUCCESS,2,6,20,20.1,40.1
16501,SUCCESS,2,6,20,40.1,60.1
16649,SUCCESS,2,6,20,60.1,80.1
16990,SUCCESS,2,6,20,80.1,100.1
637,SUCCESS,2,6,20,100.1,120.1
17536,SUCCESS,2,6,20,120.1,140.1
1354,SUCCESS,2,6,20,140.1,160.1
18006,SUCCESS,2,6,20,160.1,180.1
1660,SUCCESS,2,6,20,180.1,200.1
18231,SUCCESS,2,6,20,200.1,220.1
1962,SUCCESS,2,6,20,220.1,240.1
18539,SUCCESS,2,6,20,240.1,260.1
2295,SUCCESS,2,6,20,260.1,280.1
2357,SUCCESS,2,6,20,280.1,300.1
2639,SUCCESS,2,6,20,300.1,320.1
