Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
1,SUCCESS,2,0,20,0.1,20.1
8,SUCCESS,2,0,20,20.1,40.1
14,SUCCESS,2,0,20,40.1,60.1
15,SUCCESS,2,0,20,60.1,80.1
16,SUCCESS,2,0,20,80.1,100.1
17,SUCCESS,2,0,20,100.1,120.1
18,SUCCESS,2,0,20,120.1,140.1
19,SUCCESS,2,0,20,140.1,160.1
20,SUCCESS,2,0,20,160.1,180.1
21,SUCCESS,2,0,20,180.1,200.1
22,SUCCESS,2,0,20,200.1,220.1
26,SUCCESS,2,0,20,220.1,240.1
28,SUCCESS,2,0,20,240.1,260.1
30,SUCCESS,2,0,20,260.1,280.1
34,SUCCESS,2,0,20,280.1,300.1
38,SUCCESS,2,0,20,300.1,320.1
39,SUCCESS,2,0,20,320.1,340.1
40,SUCCESS,2,0,20,340.1,360.1
42,SUCCESS,2,0,20,360.1,380.1
43,SUCCESS,2,0,20,380.1,400.1
46,SUCCESS,2,0,20,400.1,420.1
48,SUCCESS,2,0,20,420.1,440.1
49,SUCCESS,2,0,20,440.1,460.1
50,SUCCESS,2,0,20,460.1,480.1
51,SUCCESS,2,0,20,480.1,500.1
52,SUCCESS,2,0,20,500.1,520.1
57,SUCCESS,2,1,20,0.1,20.1
58,SUCCESS,2,1,20,20.1,40.1
62,SUCCESS,2,1,20,40.1,60.1
63,SUCCESS,2,1,20,60.1,80.1
65,SUCCESS,2,1,20,80.1,100.1
68,SUCCESS,2,1,20,100.1,120.1
69,SUCCESS,2,1,20,120.1,140.1
70,SUCCESS,2,1,20,140.1,160.1
73,SUCCESS,2,1,20,160.1,180.1
74,SUCCESS,2,1,20,180.1,200.1
75,SUCCESS,2,1,20,200.1,220.1
76,SUCCESS,2,1,20,220.1,240.1
77,SUCCESS,2,1,20,240.1,260.1
82,SUCCESS,2,1,20,260.1,280.1
84,SUCCESS,2,1,20,280.1,300.1
87,SUCCESS,2,1,20,300.1,320.1
90,SUCCESS,2,1,20,320.1,340.1
94,SUCCESS,2,1,20,340.1,360.1
95,SUCCESS,2,1,20,360.1,380.1
100,SUCCESS,2,1,20,380.1,400.1
