Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
145,SUCCESS,2,34,724,0.1,724.1
378,SUCCESS,2,122,724,0.1,724.1
153,SUCCESS,2,207,742,0.1,742.1
448,SUCCESS,2,191,818,0.1,818.1
77,SUCCESS,2,3,838,0.1,838.1
463,SUCCESS,2,217,838,0.1,838.1
313,SUCCESS,2,50,857,0.1,857.1
274,SUCCESS,2,151,857,0.1,857.1
112,SUCCESS,2,35,876,0.1,876.1
510,SUCCESS,2,180,894,0.1,894.1
698,SUCCESS,2,237,894,0.1,894.1
319,SUCCESS,2,250,894,0.1,894.1
57,SUCCESS,2,1,913,0.1,913.1
38,SUCCESS,2,103,913,0.1,913.1
404,SUCCESS,2,221,913,0.1,913.1
96,SUCCESS,2,251,913,0.1,913.1
318,SUCCESS,2,99,932,0.1,932.1
6,SUCCESS,2,119,932,0.1,932.1
48,SUCCESS,2,37,951,0.1,951.1
249,SUCCESS,2,61,951,0.1,951.1
55,SUCCESS,2,62,951,0.1,951.1
1064,SUCCESS,2,109,951,0.1,951.1
349,SUCCESS,2,190,951,0.1,951.1
337,SUCCESS,2,193,951,0.1,951.1
335,SUCCESS,2,224,951,0.1,951.1
22,SUCCESS,2,246,951,0.1,951.1
13,SUCCESS,2,254,951,0.1,951.1
148,SUCCESS,2,55,972,0.1,972.1
427,SUCCESS,2,168,972,0.1,972.1
220,SUCCESS,2,178,972,0.1,972.1
586,SUCCESS,2,199,972,0.1,972.1
211,SUCCESS,2,211,972,0.1,972.1
325,SUCCESS,2,51,990,0.1,990.1
280,SUCCESS,2,137,1009,0.1,1009.1
965,SUCCESS,2,138,1009,0.1,1009.1
12,SUCCESS,2,158,1009,0.1,1009.1
226,SUCCESS,2,229,1009,0.1,1009.1
16,SUCCESS,2,245,1009,0.1,1009.1
397,SUCCESS,2,252,1009,0.1,1009.1
553,SUCCESS,2,56,1028,0.1,1028.1
410,SUCCESS,2,57,1028,0.1,1028.1
42,SUCCESS,2,85,1028,0.1,1028.1
596,SUCCESS,2,117,1028,0.1,1028.1
221,SUCCESS,2,145,1028,0.1,1028.1
180,SUCCESS,2,41,1047,0.1,1047.1
9,SUCCESS,2,59,1047,0.1,1047.1
399,SUCCESS,2,195,1047,0.1,1047.1
28,SUCCESS,2,9,1065,0.1,1065.1
247,SUCCESS,2,139,1065,0.1,1065.1
168,SUCCESS,2,206,1065,0.1,1065.1
